hhnum,strrec,regcode,psurec,provcode,prelacteal2,predom_0to5,mmf_6to23,member_code,mdd,mad_6to23_new,introcomple_6to8,agemos,firstbf2,finalwgt,exbf_0to5,ever_bf2,duration_bf,dds_6to23,current_fd_recall2,cont_20to23,cont_12to15,bottle_status,age_appro_all
465,7,1,1,29,0,9999,1,5,0,0,9999,23.4,1,716.0728,9999,1,14,2,11,0,9999,0,0
465,7,1,1,29,0,0,9999,6,9999,9999,9999,3.24,1,716.3561,1,1,3,9999,1,9999,9999,0,1
466,7,1,1,29,0,0,9999,5,9999,9999,9999,0.48,1,716.0728,1,1,0,9999,1,9999,9999,0,1
472,10,1,3,29,0,9999,1,4,0,0,9999,11.16,1,707.5798,9999,1,11,3,10,9999,9999,1,0
476,10,1,3,29,0,9999,1,8,0,0,9999,10.08,1,707.5798,9999,1,10,1,3,9999,9999,0,1
484,10,1,3,29,0,9999,1,5,0,0,9999,14.64,3,707.3,9999,1,14,1,3,9999,1,0,1
511,9,1,1,29,0,9999,0,6,0,0,0,6.24,1,716.0728,9999,1,6,1,4,9999,9999,1,0
526,9,1,1,29,0,0,9999,7,9999,9999,9999,4.92,1,716.0728,1,1,4,9999,1,9999,9999,0,1
527,8,1,1,29,0,9999,1,5,0,0,9999,20.04,2,708.6503,9999,1,12,1,11,0,9999,1,0
530,8,1,1,29,0,9999,0,10,0,0,9999,9.6,1,708.6503,9999,1,9,0,5,9999,9999,0,1
545,9,1,4,29,0,9999,9999,4,9999,9999,9999,1.2,1,716.0728,9999,1,1,9999,9999,9999,9999,0,9999
567,6,1,2,29,9999,9999,1,5,0,0,9999,14.76,9999,717.4565,9999,0,9999,3,9,9999,0,1,0
569,6,1,2,29,9999,9999,1,8,0,0,9999,23.52,9999,717.4565,9999,0,9999,2,10,0,9999,1,0
574,6,1,2,29,0,9999,1,6,0,0,9999,21.12,1,717.4565,9999,1,15,2,11,0,9999,0,0
584,8,1,4,29,0,9999,1,5,0,0,1,7.92,1,708.6503,9999,1,0,2,9,9999,9999,1,0
585,8,1,4,29,1,9999,1,5,0,0,1,7.44,1,708.6503,9999,1,6,2,9,9999,9999,1,0
595,8,1,4,29,9999,9999,1,5,0,0,1,8.28,9999,708.37,9999,0,9999,2,9,9999,9999,1,0
617,9,1,2,29,0,9999,1,13,1,1,9999,19.56,1,716.3561,9999,1,19,4,5,9999,9999,1,1
620,9,1,2,29,9999,9999,1,5,0,0,1,7.68,9999,716.0728,9999,0,9999,2,9,9999,9999,1,0
626,9,1,2,29,9999,9999,1,5,1,0,9999,22.32,9999,716.0728,9999,0,9999,4,10,0,9999,1,0
659,10,1,2,29,0,0,9999,4,9999,9999,9999,4.68,1,707.5798,0,1,4,9999,3,9999,9999,0,0
665,10,1,2,29,0,9999,1,5,0,0,9999,19.44,1,707.3,9999,1,13,3,9,9999,9999,1,0
676,6,1,1,29,0,9999,1,5,0,0,9999,18.72,1,717.7403,9999,1,12,3,9,9999,9999,1,0
677,6,1,1,29,0,9999,1,6,0,0,9999,13.08,1,717.7403,9999,1,13,1,3,9999,1,0,1
